,time,open,high,low,close,volume,ticker
212,2015-11-12,11130,11670,11020,11570,3514400,FPT
213,2015-11-13,11570,11900,11460,11900,2759580,FPT
214,2015-11-16,11790,12020,11570,11790,2413900,FPT
215,2015-11-17,11670,11790,11350,11350,2136990,FPT
216,2015-11-18,11240,11570,11240,11350,1366870,FPT
217,2015-11-19,11350,11570,11240,11240,1096120,FPT
218,2015-11-20,11240,11350,11130,11130,1196900,FPT
219,2015-11-23,11130,11240,10800,10800,2054830,FPT
220,2015-11-24,10840,10840,10570,10720,2817650,FPT
221,2015-11-25,10760,11020,10600,10910,1309410,FPT
222,2015-11-26,10860,10910,10700,10700,746390,FPT
223,2015-11-27,10740,10890,10670,10670,1520660,FPT
224,2015-11-30,10700,10700,10550,10550,1116850,FPT
225,2015-12-01,10620,10660,10510,10530,623880,FPT
226,2015-12-02,10530,10640,10530,10570,675930,FPT
227,2015-12-03,10600,10640,10550,10600,343540,FPT
228,2015-12-04,10600,10600,10410,10460,861320,FPT
229,2015-12-07,10430,10470,10360,10360,892260,FPT
230,2015-12-08,10330,10720,10280,10700,1117670,FPT
231,2015-12-09,10700,10780,10530,10530,735460,FPT
232,2015-12-10,10530,10620,10430,10430,610110,FPT
233,2015-12-11,10410,10600,10410,10470,558390,FPT
234,2015-12-14,10460,10530,10430,10430,434710,FPT
235,2015-12-15,10430,10600,10430,10600,527780,FPT
236,2015-12-16,10640,10760,10640,10660,1252650,FPT
237,2015-12-17,10740,10800,10700,10740,916420,FPT
238,2015-12-18,10740,10760,10670,10670,825670,FPT
239,2015-12-21,10670,10670,10550,10600,540360,FPT
240,2015-12-22,10600,10640,10510,10510,537270,FPT
241,2015-12-23,10550,10570,10430,10460,606040,FPT
242,2015-12-24,10510,10530,10430,10430,474020,FPT
243,2015-12-25,10470,10470,10410,10430,339400,FPT
244,2015-12-28,10470,10640,10410,10510,767110,FPT
245,2015-12-29,10530,10600,10510,10550,433620,FPT
246,2015-12-30,10620,10670,10550,10550,913890,FPT
247,2015-12-31,10550,10660,10530,10550,570340,FPT
248,2016-01-04,10570,10600,10430,10430,602210,FPT
249,2016-01-05,10430,10470,10410,10430,734050,FPT
250,2016-01-06,10430,10510,10430,10460,446810,FPT
251,2016-01-07,10460,10460,10260,10260,1841620,FPT
252,2016-01-08,10220,10240,10030,10100,1773760,FPT
253,2016-01-11,10100,10100,10020,10020,805440,FPT
254,2016-01-12,10030,10240,9970,10240,582160,FPT
255,2016-01-13,10260,10330,10100,10130,542910,FPT
256,2016-01-14,10060,10130,10030,10090,509720,FPT
257,2016-01-15,10090,10150,10030,10060,593280,FPT
258,2016-01-18,9930,9970,9670,9800,2255130,FPT
259,2016-01-19,9830,9890,9750,9840,873480,FPT
260,2016-01-20,9840,9930,9800,9800,651980,FPT
261,2016-01-21,9750,9840,9730,9800,647810,FPT
262,2016-01-22,9830,9840,9670,9780,692750,FPT
263,2016-01-25,9930,10280,9830,10280,892040,FPT
264,2016-01-26,10150,10170,10020,10020,661130,FPT
265,2016-01-27,10150,10150,10090,10100,336620,FPT
266,2016-01-28,10100,10130,9990,10030,491030,FPT
267,2016-01-29,10100,10150,10020,10130,496970,FPT
268,2016-02-01,10150,10240,10030,10170,584110,FPT
269,2016-02-02,10100,10200,10090,10090,184210,FPT
270,2016-02-03,10130,10240,10090,10170,641500,FPT
271,2016-02-04,10240,10240,10150,10150,282030,FPT
272,2016-02-05,10200,10260,10150,10240,363780,FPT
273,2016-02-15,10200,10220,10100,10200,342070,FPT
274,2016-02-16,10260,10360,10200,10330,346480,FPT
275,2016-02-17,10390,10530,10360,10360,719440,FPT
276,2016-02-18,10410,10550,10390,10510,737190,FPT
277,2016-02-19,10470,10470,10390,10410,530400,FPT
278,2016-02-22,10410,10530,10410,10530,518820,FPT
279,2016-02-23,10600,10600,10430,10430,727180,FPT
280,2016-02-24,10410,10470,10390,10430,655980,FPT
281,2016-02-25,10470,10550,10390,10390,673070,FPT
282,2016-02-26,10410,10430,10350,10410,383230,FPT
283,2016-02-29,10460,10460,10390,10430,516250,FPT
284,2016-03-01,10410,10670,10390,10530,1215810,FPT
